[01:18:14] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:15] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:17] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:18] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:19] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:20] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:21] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:22] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:24] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:25] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:26] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:27] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:28] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:29] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:30] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:32] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:33] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:34] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:35] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:36] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:37] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:39] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:40] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:41] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:42] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
